,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1506,40,Roman Lock,Geraldine,Clarke,17,Daughter,NA,Female,Student,None,NA
1507,41,Roman Lock,Ashley,Morgan,56,Head,Single,Male,"Restaurant manager, fast food",None,Christian
1508,41,Roman Lock,Bernard,Morgan,15,Nephew,NA,Male,Student,None,NA
1509,41,Roman Lock,Douglas,White,11,Nephew,NA,Male,Student,None,NA
1510,41,Roman Lock,Catherine,White,7,Neice,NA,Female,Student,None,NA
1511,41,Roman Lock,Dean,White,5,Nephew,NA,Male,Student,None,NA
1512,42,Roman Lock,Marc,Ford,43,Head,Single,Male,Field seismologist,None,Christian
1513,42,Roman Lock,Jemma,Roberts,37,Partner,Single,Female,Mudlogger,None,Christian
1514,43,Roman Lock,Roy,Wilson,28,Head,Single,Male,Unemployed,None,Catholic
1515,43,Roman Lock,Brett,Wilson,10,Son,NA,Male,Student,None,NA
1516,43,Roman Lock,Hugh,Wilson,7,Son,NA,M,Student,None,NA
1517,43,Roman Lock,Bernard,Wilson,4,Son,NA,Male,Child,None,NA
1518,44,Roman Lock,Geraldine,Riley,72,Head,Widowed,Female,Retired Insurance account manager,None,Methodist
1519,44,Roman Lock,Geoffrey,Morris,14,Grandson,NA,Male,Student,None,NA
1520,1,Severn Park,Ashleigh,Bradley,35,Head,Divorced,Female,"Production designer, theatre/television/film",None,Christian
1521,1,Severn Park,Arthur,Bradley,11,Son,NA,Male,Student,None,NA
1522,2,Severn Park,Sheila,Slater,28,Head,Single,Female,Counsellor,None,Methodist
1523,2,Severn Park,Edward,Parker,26,Partner,Single,Male,"Nurse, children's",None,Methodist
1524,3,Severn Park,Susan,Thomas,38,Head,Divorced,Female,"Psychologist, educational",None,None
1525,4,Severn Park,Abdul,Clarke,73,Head,Married,Male,Retired Printmaker,None,Christian
1526,4,Severn Park,Amy,Clarke,75,Wife,Married,Female,Retired Geophysical data processor,None,Christian
1527,5,Severn Park,Olivia,Rees,19,Head,Single,Female,University Student,None,None
1528,5,Severn Park,Hollie,Hardy,18,None,Single,Female,University Student,None,Muslim
1529,5,Severn Park,Victoria,Mitchell,18,None,Single,Female,University Student,None,Sikh
1530,5,Severn Park,Jasmine,Smith,18,None,Single,Female,University Student,None,Methodist
1531,5,Severn Park,Leon,Jones,21,None,Single,Male,University Student,None,None
1532,6,Severn Park,Suzanne,Jones,28,Head,Divorced,Female,Food technologist,None,Christian
1533,7,Severn Park,Mohammad,Jones,41,Head,Married,Male,Outdoor activities/education manager,None,Christian
1534,7,Severn Park,Elizabeth,Jones,36,Wife,Married,Female,"Scientist, audiological",None,None
1535,8,Severn Park,Lorraine,Day,44,Head,Widowed,Female,"Therapist, art",None,Catholic
1536,8,Severn Park,Jason,Day,12,Son,NA,Male,Student,None,NA
1537,9,Severn Park,Trevor,Clark,22,Head,Married,Male,University Student,None,Sikh
1538,9,Severn Park,Stacey,Clark,22,Wife,Married,Female,University Student,None,Sikh
1539,10,Severn Park,Charlene,Williams,37,Head,Divorced,Female,Unemployed,None,None
1540,10,Severn Park,Harry,Williams,1,Son,NA,Male,Child,None,NA
1541,11,Severn Park,Victor,Phillips,50,Head,Married,Male,"Surveyor, commercial/residential",None,Catholic
1542,11,Severn Park,Cheryl,Phillips,51,Wife,Married,Female,Hospital pharmacist,None,None
1543,12,Severn Park,Carolyn,Gallagher,40,Head,Divorced,Female,Theme park manager,None,Methodist
1544,12,Severn Park,Arthur,Gallagher,10,Son,NA,Male,Student,None,NA
1545,12,Severn Park,Mohamed,Gallagher,10,Son,NA,Male,Student,None,NA
1546,12,Severn Park,Harriet,Gallagher,9,Daughter,NA,Female,Student,None,NA
1547,13,Severn Park,Claire,Mitchell,30,Head,Divorced,Female,Environmental consultant,None,None
1548,13,Severn Park,Kathleen,Mitchell,2,Neice,NA,Female,Child,None,NA
1549,14,Severn Park,Katy,Jones,60,Head,Married,Female,"Physicist, medical",None,Christian
1550,14,Severn Park,Mitchell,Jones,61,Husband,Married,Male,Music therapist,None,Christian
1551,15,Severn Park,Kim,Whitehead,21,Head,Single,Female,University Student,None,None
1552,16,Severn Park,Holly,Lewis,25,Head,Married,Female,Education administrator,None,None
1553,16,Severn Park,Stephen,Lewis,24,Husband,Married,Male,Holiday representative,None,None
1554,17,Severn Park,Roger,Sims,81,Head,Married,Male,Retired Hospital doctor,None,Christian
1555,17,Severn Park,Jennifer,Sims,79,Wife,Married,Female,"Retired Loss adjuster, chartered", ,Christian
1556,18,Severn Park,Lucy,Moran,50,Head,Married,Female,Seismic interpreter,None,Christian
1557,18,Severn Park,Elliot,Moran,52,Husband,Married,Male,Health visitor,None,None
1558,19,Severn Park,Emily,Morgan,83,Head,Married,Female,"Retired Administrator, education",None,Christian
1559,19,Severn Park,Christian,Morgan,87,Husband,Married,Male,"Retired Surveyor, building control",None,Christian
1560,20,Severn Park,Rachael,Armstrong,32,Head,Single,Female,Unemployed,None,None
1561,20,Severn Park,Maria,Armstrong,0,Daughter,NA,Female,Child,None,NA
1562,21,Severn Park,Margaret,Wilkinson,52,Head,Single,F,"Engineer, site",None,Catholic
1563,21,Severn Park,Alexandra,Butler,51,None,Single,Female,Advertising account planner,None,None
1564,21,Severn Park,Ruth,Smart,32,None,Single,female,Air broker,None,None
1565,21,Severn Park,Lawrence,Skinner,44,None,Single,Male,Licensed conveyancer,None,Catholic
1566,21,Severn Park,Jodie,Dobson,27,None,Single,Female,Building control surveyor,None,None
1567,22,Severn Park,Jonathan,Mills,37,Head,Divorced,Male,Unemployed,None,None
1568,22,Severn Park,Michael,Mills,10,Son,NA,Male,Student,None,NA
1569,23,Severn Park,Gillian,Harrison,39,Head,Single,Female,Unemployed,None,Christian
1570,23,Severn Park,Barry,Harrison,18,Son,Single,Male,Student,None,Christian
1571,23,Severn Park,Amanda,Harrison,18,Daughter,Single,Female,Student,None,None
1572,23,Severn Park,Amber,Harrison,15,Daughter,NA,Female,Student,None,NA
1573,24,Severn Park,Elaine,Brown,29,Head,Single,Female,Electronics engineer,None,None
1574,25,Severn Park,Robert,Lewis,24,Head,Single,Male,Environmental education officer,None,Catholic
1575,25,Severn Park,Joanne,Waters,23,Partner,Single,Female,Acupuncturist,None,None
1576,26,Severn Park,Marian,Clark,87,Head,Widowed,Female,"Retired Conservation officer, nature",None,Christian
1577,27,Severn Park,Jean,Byrne,59,Head,Married,Female,Office manager,None,Christian
1578,27,Severn Park,Ryan,Byrne,61,Husband,Married,male,"Engineer, agricultural",None,Christian
1579,27,Severn Park,Holly,Byrne,30,Daughter,Divorced,Female,Records manager,None,None
1580,28,Severn Park,Kathleen,Green,84,Head,Widowed,Female,Retired Catering manager,None,Methodist
1581,29,Severn Park,Terence,Freeman,89,Head,Married,Male,Retired Careers adviser,None,Christian
1582,29,Severn Park,Nicola,Freeman,82,Wife,Married,Female,Retired Health and safety inspector,None,None
1583,30,Severn Park,Megan,Austin,34,Head,Single,Female,Forensic psychologist,None,None
1584,31,Severn Park,Natalie,Smith,57,Head,Married,Female,Community arts worker,None,Christian
1585,31,Severn Park,Nigel,Smith,58,Husband,Married,Male,Visual merchandiser,None,Christian
1586,31,Severn Park,Stacey,Smith,25,Daughter,Single,Female,Psychiatric nurse,None,None
1587,32,Severn Park,Cheryl,Davies,66,Head,Married,Female,Paramedic,None,Christian
1588,32,Severn Park,Jonathan,Davies,62,Husband,Married,Male,Sports coach,None,Christian
1589,32,Severn Park,Carole,Davies,30,Daughter,Single,f,"Doctor, general practice",None,Christian
1590,33,Severn Park,Andrea,Wood,23,Head,Married,Female,Museum education officer,None,Christian
1591,33,Severn Park,Mark,Wood,26,Husband,Married,Male,Accommodation manager,None,None
1592,34,Severn Park,Joel,Johnson,50,Head,Single,Male,Dispensing optician,None,Catholic
1593,34,Severn Park,Ricky,Johnson,8,Grandson,NA,Male,Student,None,NA
1594,35,Severn Park,Julie,Sutton,32,Head,Single,Female,Health physicist,None,Methodist
1595,36,Severn Park,Shannon,Banks,37,Head,Single,Female,Photographer,None,Catholic
1596,36,Severn Park,Justin,Banks,17,Son,NA,Male,Student,None,NA
1597,37,Severn Park,Anne,Young,30,Head,Single,Female,Restaurant manager,None,Christian
1598,37,Severn Park,Megan,Wood,23,None,Single,Female,Camera operator,None,None
1599,38,Severn Park,Lydia,Williams,85,Head,Widowed,Female,Unemployed,None,Christian
1600,39,Severn Park,Amber,O'Sullivan,66,Head,Widowed,Female,Archivist,None,Christian
1601,40,Severn Park,Mandy,Porter,47,Head,Married,Female,Web designer,None,Catholic
1602,40,Severn Park,Garry,Porter,49,Husband,Married,Male,"Surveyor, insurance",None,Catholic
1603,40,Severn Park,Julia,Jones,9,Daughter,NA,Female,Student,None,NA
1604,41,Severn Park,Margaret,Cook,69,Head,Married,Female,Retired Agricultural consultant,None,Christian
1605,41,Severn Park,Sam,Cook,72,Husband,Married,Male,Retired Barrister,None,None
1606,42,Severn Park,George,Roberts,65,Head,Married,Male,Colour technologist,None,None
1607,42,Severn Park,Megan,Roberts,63,Wife,Married,Female,Glass blower/designer,None,None
1608,42,Severn Park,Megan,Roberts,33,Daughter,Single,Female,Editorial assistant,None,None
1609,43,Severn Park,Hayley,Rowe,47,Head,Single,Female,"Designer, textile",None,None
1610,43,Severn Park,June,Rowe,7,Daughter,NA,Female,Student,None,NA
1611,44,Severn Park,Lindsey,Payne,35,Head,Divorced,Female,Environmental manager,None,Methodist
1612,44,Severn Park,Russell,Payne,9,Son,NA,Male,Student,None,NA
1613,45,Severn Park,Samantha,Dyer,47,Head,Married,Female,"Research officer, political party",None,None
1614,45,Severn Park,Joel,Dyer,51,Husband,Married,Male,Architectural technologist,None,None
1615,45,Severn Park,Charles,Dyer,15,Son,NA,Male,Student,None,NA
1616,46,Severn Park,Clifford,Pearce,57,Head,Married,Male,Intelligence analyst,None,None
1617,46,Severn Park,Louise,Pearce,53,Wife,Married,Female,Drilling engineer,None,None
1618,47,Severn Park,Dawn,Clarke,29,Head,Single,Female,Immunologist,None,None
1619,48,Severn Park,Anne,Duncan,30,Head,Divorced,Female,Unemployed,None,None
1620,48,Severn Park,Ann,Duncan,14,Daughter,NA,Female,Student,None,NA
1621,48,Severn Park,Ricky,Duncan,13,Son,NA,Male,Student,None,NA
1622,48,Severn Park,Hazel,Duncan,11,Daughter,NA,Female,Student,None,NA
1623,49,Severn Park,Antony,Harper,44,Head,Single,Male,Unemployed,None,None
1624,50,Severn Park,Mary,Andrews,33,Head,Single,Female,Film/video editor,None,Christian
1625,50,Severn Park,Leslie,Andrews,14,Son,NA,Male,Student,None,NA
1626,50,Severn Park,Lisa,Andrews,12,Daughter,NA,Female,Student,None,NA
1627,50,Severn Park,Dale,Andrews,9,Son,NA,Male,Student,None,NA
1628,50,Severn Park,Declan,Andrews,7,Son,NA,Male,Student,None,NA
1629,51,Severn Park,Mary,Ross,53,Head,Single,Female,Chief Marketing Officer,None,Christian
1630,51,Severn Park,Alex,Ross,24,Son,Single,Male,Analytical chemist,None,Christian
1631,52,Severn Park,Leanne,Andrews,47,Head,Widowed,Female,Chemical engineer,None,None
1632,53,Severn Park,Diana,Sims,43,Head,Single,Female,Multimedia programmer,None,Christian
1633,53,Severn Park,Leon,Robinson,49,None,Single,Male,Insurance underwriter,None,None
1634,54,Severn Park,Sara,Owen,50,Head,Single,Female,"Engineer, maintenance",None,Christian
1635,54,Severn Park,Josh,Thorpe,52,Partner,Single,Male,Newspaper journalist,None,None
1636,55,Severn Park,Marcus,Reid,22,Head,Single,Male,University Student,None,Sikh
1637,55,Severn Park,Joanna,Davies,54,None,Single,Female,Financial controller,None,Christian
1638,56,Severn Park,Marie,Lucas,43,Head,Married,Female,Sales executive,None,Catholic
1639,56,Severn Park,Dale,Whittaker,43,Husband,Married,Male,Aeronautical engineer,None,Catholic
1640,56,Severn Park,Lawrence,Lucas,8,Son,NA,Male,Student,None,NA
1641,56,Severn Park,Eric,Lucas,4,Son,NA,Male,Child,None,NA
1642,56,Severn Park,Sarah,Lucas,3,Daughter,NA,Female,Child,None,NA
1643,57,Severn Park,Sian,Harris,45,Head,Married,Female,"Nurse, learning disability",None,Catholic
1644,57,Severn Park,Donald,Harris,48,Husband,Married,male,Structural engineer,None,None
1645,57,Severn Park,Jodie,Harris,18,Daughter,Single,Female,Student,None,Catholic
1646,57,Severn Park,John,Harris,10,Son,NA,Male,Student,None,NA
1647,58,Severn Park,Pauline,Whittaker,18,Head,Single,Female,Student,None,NA
1648,59,Severn Park,Dominic,Mason,76,Head,Married,Male,Retired Actor,None,Christian
1649,59,Severn Park,Gemma,Mason,77,Wife,Married,female,"Retired Engineer, electrical",None,Christian
1650,60,Severn Park,Max,Ryan,67,Head,Widowed,Male,Art gallery manager,None,Methodist
1651,61,Severn Park,Conor,Brooks,19,Head,Divorced,Male,University Student,None,Christian
1652,62,Severn Park,Anthony,Griffiths,21,Head,Single,Male,University Student,None,None
1653,62,Severn Park,Margaret,Wilkinson,57,None,Single,Female,Brewing technologist,None,Christian
1654,62,Severn Park,Melanie,Robinson,39,None,Single,Female,Tour manager,None,Methodist
1655,62,Severn Park,Megan,Power,63,None,Single,Female,Dentist,None,Christian
1656,62,Severn Park,Dean,Walker,48,None,Single,Male,Illustrator,None,Christian
1657,63,Severn Park,Melanie,Gallagher,41,Head,Divorced,Female,Leisure centre manager,None,None
1658,63,Severn Park,Guy,Gallagher,15,Son,NA,Male,Student,None,NA
1659,64,Severn Park,Kenneth,Williams,65,Head,Married,Male,Furniture designer,None,Christian
1660,64,Severn Park,Kate,Williams,64,Wife,Married,Female,Volunteer coordinator,None,Christian
1661,65,Severn Park,Carole,Martin,37,Head,Married,Female,Television/film/video producer,None,Catholic
1662,65,Severn Park,Callum,Martin,39,Husband,Married,Male,Industrial buyer,None,Catholic
1663,65,Severn Park,Dennis,Martin,5,Son,NA,Male,Student,None,NA
1664,65,Severn Park,Timothy,Martin,2,Son,NA,Male,Child,None,NA
1665,66,Severn Park,Amber,Stanley,33,Head,Single,Female,"Administrator, charities/voluntary organisations",None,Christian
1666,66,Severn Park,Leslie,Stanley,12,Son,NA,Male,Student,None,NA
1667,66,Severn Park,Craig,Stanley,8,Son,NA,Male,Student,None,NA
1668,67,Severn Park,Connor,Evans,67,Head,Widowed,Male,Unemployed,None,Christian
1669,67,Severn Park,Marion,Evans,30,Daughter,Single,Female,Unemployed,None,Christian
1670,67,Severn Park,Leigh,Evans,27,Son,Single,Male,"Engineer, structural",None,Christian
1671,68,Severn Park,Andrew,Andrews,25,Head,Single,Male,Research scientist (maths),None,Catholic
1672,68,Severn Park,Marie,Fraser,64,None,Single,Female,Restaurant manager,None,Muslim
1673,69,Severn Park,Zoe,Holland,79,Head,W,Female,Retired Clinical molecular geneticist,None,Christian
1674,70,Severn Park,Maurice,Lane,28,Head,Single,Male,Fashion designer,None,Catholic
1675,71,Severn Park,Elliott,Jackson,20,Head,Married,Male,University Student,None,Muslim
1676,71,Severn Park,Emily,Jackson,19,Wife,Married,Female,University Student,None,Muslim
1677,72,Severn Park,Jasmine,Jones,45,Head,Divorced,Female,"Buyer, industrial",None,Catholic
1678,72,Severn Park,Mary,Jones,18,Daughter,Single,Female,Student,None,None
1679,72,Severn Park,Gerald,Jones,14,Son,NA,Male,Student,None,NA
1680,73,Severn Park,Frederick,Higgins,28,Head,Single,Male,Operations geologist,None,None
1681,74,Severn Park,Leanne,Gardiner,45,Head,Divorced,Female,Sports administrator,None,Catholic
1682,75,Severn Park,Gavin,Saunders,50,Head,Widowed,Male,Theatre stage manager,None,None
1683,76,Severn Park,Judith,Jones,66,Head,Married,Female,Minerals surveyor,None,Christian
1684,76,Severn Park,Jack,Jones,70,Husband,Married,Male,Retired Archaeologist,None,Christian
1685,77,Severn Park,Valerie,Bond,53,Head,Single,Female,Agricultural engineer,None,Christian
1686,77,Severn Park,Kyle,Bond,14,Son,NA,Male,Student,None,NA
1687,77,Severn Park,Stanley,Bond,10,Son,NA,Male,Student,None,NA
1688,78,Severn Park,Harriet,Dyer,59,Head,Single,Female,"Engineer, chemical",None,Catholic
1689,78,Severn Park,Joel,Walsh,63,Partner,Single,Male,Unemployed,None,Catholic
1690,79,Severn Park,Emily,Field,48,Head,Married,Female,Jewellery designer,None,Catholic
1691,79,Severn Park,Scott,Field,50,Husband,Married,Male,"Designer, graphic",None,Catholic
1692,79,Severn Park,Claire,Field,26,Daughter,Single,Female,Unemployed,Blind,None
1693,79,Severn Park,Sally,Field,25,Daughter,Widowed,Female,Merchant navy officer,None,Catholic
1694,79,Severn Park,Jemma,Faulkner-Field,12,Daughter,NA,Female,Student,None,NA
1695,80,Severn Park,Dylan,Williams,58,Head,Married,Male,Patent examiner,None,Christian
1696,80,Severn Park,Shannon,Thompson,52,Wife,Married,Female,Theatre manager,None,Christian
1697,81,Severn Park,Beth,Jennings,64,Head,Married,Female,"Psychotherapist, dance movement",None,Methodist
1698,81,Severn Park,Ben,Jennings,66,Husband,Married,Male,Higher education lecturer,None,Methodist
1699,81,Severn Park,Bethan,Jennings,23,Daughter,Divorced,Female,Health and safety inspector,None,None
1700,81,Severn Park,Mark,Jennings,16,Son,NA,Male,Student,None,NA
1701,81,Severn Park,Katie,Jennings,13,Daughter,NA,Female,Student,None,NA
1702,82,Severn Park,Amelia,Allen,25,Head,Single,Female,Higher education careers adviser,None,None
1703,83,Severn Park,Yvonne,Hill,40,Head,Divorced,Female,Paediatric nurse,None,Catholic
1704,83,Severn Park,Melanie,Hill,7,Daughter,NA,Female,Student,None,NA
1705,83,Severn Park,Craig,Hill,6,Son,NA,Male,Student,None,NA
1706,83,Severn Park,Andrea,Hill,3,Daughter,NA,Female,Child,None,NA
1707,83,Severn Park,Bradley,Hill,1,Son,NA,Male,Child,None,NA
1708,84,Severn Park,Brenda,James,33,Head,Single,Female,Lawyer,None,Christian
1709,84,Severn Park,Leonard,Mahmood,35,Partner,Single,Male,Actor,None,None
1710,84,Severn Park,Lesley,James,11,Daughter,NA,Female,Student,None,NA
1711,85,Severn Park,Tracy,Jones,80,Head,Married,Female,"Retired Production assistant, television",None,Catholic
1712,85,Severn Park,Alan,Jones,79,Husband,Married,Male,"Retired Designer, jewellery",None,Catholic
1713,85,Severn Park,Kate,Jones,38,Daughter,Single,Female,"Teacher, special educational needs",None,Catholic
1714,85,Severn Park,Stuart,Jones,36,Son,Divorced,Male,Structural engineer,None,None
1715,85,Severn Park,Frederick,Jones,32,Son,Single,male,Public relations account executive,None,Catholic
1716,86,Severn Park,Carolyn,Brown,78,Head,Married,Female,"Retired Solicitor, Scotland",None,Christian
1717,86,Severn Park,Alan,Brown,80,Husband,Married,Male,Retired Wellsite geologist,None,Christian
1718,87,Severn Park,Irene,Allen,29,Head,Single,Female,Agricultural engineer,None,None
1719,87,Severn Park,Norman,Ahmed,35,Partner,Single,Male,Nutritional therapist,None,None
1720,87,Severn Park,Caroline,Allen,13,Daughter,NA,Female,Student,None,NA
1721,87,Severn Park,Natasha,Allen,9,Daughter,NA,female,Student,None,NA
1722,1,Templekit Street,Kate,Roberts,54,Head,Divorced,Female,Charity fundraiser,None,Christian
1723,2,Templekit Street,Sara,Martin,40,Head,Divorced,Female,Government social research officer,None,Methodist
1724,3,Templekit Street,Karl,King,74,Head,Widowed,Male,Retired Printmaker,None,Catholic
1725,4,Templekit Street,Dale,Bradshaw,38,Head,Single,Male,Health visitor,None,Christian
1726,5,Templekit Street,Abigail,Kelly,47,Head,Single,Female,"Surveyor, quantity",None,Christian
1727,6,Templekit Street,Anthony,Jones,70,Head,Divorced,Male,Retired Environmental health practitioner,None,None
1728,7,Templekit Street,Anthony,Walker,42,Head,Married,Male,Archivist,None,None
1729,7,Templekit Street,Hollie,Walker,45,Wife,Married,Female,Architectural technologist,None,None
1730,8,Templekit Street,Hilary,Gregory,68,Head,Widowed,Female,Retired Aid worker,None,None
1731,9,Templekit Street,Raymond,Gray,25,Head,Single,Male,Barrister,None,Methodist
1732,10,Templekit Street,Sheila,Patel,20,Head,Married,Female,University Student,None,None
1733,10,Templekit Street,Craig,Patel,23,Husband,Married,Male,"Investment banker, operational",None,None
1734,11,Templekit Street,Terence,Clark,41,Head,Single,Male,Multimedia programmer,None,None
1735,12,Templekit Street,Suzanne,Wood,84,Head,Widowed,Female,Retired Physiotherapist,None,Christian
1736,13,Templekit Street,Trevor,Archer,45,Head,Single,Male,Communications engineer,None,Christian
1737,13,Templekit Street,Diane,Smith,60,None,Single,Female,Operations geologist,None,Christian
1738,14,Templekit Street,Bethan,Heath,30,Head,Single,Female,Unemployed,None,Christian
1739,14,Templekit Street,Richard,Carr,35,Partner,Single,Male,Geophysicist/field seismologist,None,Christian
1740,15,Templekit Street,Patricia,Kelly,82,Head,Single,Female,Retired Animator,None,None
1741,16,Templekit Street,Katie,Robinson,70,Head,Widowed,Female,Retired Counselling psychologist,None,Christian
1742,17,Templekit Street,Anne,Brady,81,Head,Widowed,Female,Retired Financial planner,None,Catholic
1743,18,Templekit Street,Lynda,Wallis,72,Head,Single,Female,"Retired Psychotherapist, child",None,Methodist
1744,19,Templekit Street,Simon,Holden,75,Head,Divorced,Male,Retired Maintenance engineer,None,Catholic
1745,20,Templekit Street,Georgia,Townsend,41,Head,Divorced,Female,"Secretary, company",None,Catholic
1746,20,Templekit Street,Declan,Townsend,18,Son,Single,Male,Student,None,None
1747,20,Templekit Street,Dylan,Townsend,15,Son,NA,Male,Student,None,NA
1748,21,Templekit Street,Kenneth,Kennedy,52,Head,Married,Male,Petroleum engineer,None,Christian
1749,21,Templekit Street,Naomi,Kennedy,52,Wife,Married,Female,Barrister,None,Christian
1750,22,Templekit Street,Eleanor,Bishop,51,Head,Single,Female,Government social research officer,None,None
1751,22,Templekit Street,Dylan,Barnett,53,Partner,Single,Male,Advice worker,None,None
1752,23,Templekit Street,Hayley,Fuller,38,Head,Married,female,"Teacher, early years/pre",None,Christian
1753,23,Templekit Street,Albert,Fuller,40,Husband,Married,Male,Recycling officer,None,Christian
1754,24,Templekit Street,Kyle,Thomas,37,Head,Single,Male,"Biochemist, clinical",None,Catholic
1755,25,Templekit Street,Denis,Willis,65,Head,Widowed,Male,Advertising account executive,None,None
1756,26,Templekit Street,Lisa,Ahmed,48,Head,Single,Female,Television production assistant,None,Christian
1757,27,Templekit Street,Geraldine,Murphy,23,Head,Single,Female,Charity officer,None,Catholic
1758,28,Templekit Street,Harriet,Smith,64,Head,Single,Female,Unemployed,None,Christian
1759,29,Templekit Street,Paige,Lee,70,Head,Widowed,Female,Unemployed,None,Christian
1760,30,Templekit Street,Holly,Shaw,28,Head,Single,Female,Building control surveyor,None,None
1761,31,Templekit Street,Kieran,Taylor,61,Head,Single,Male,Lexicographer,None,Christian
1762,32,Templekit Street,Chelsea,Harris,84,Head,D,Female,Retired Horticultural therapist,None,None
1763,33,Templekit Street,Derek,Murphy,35,Head,Single,Male,Maintenance engineer,None,None
1764,33,Templekit Street,Molly,Khan,32,Partner,Single,Female,Charity officer,None,None
1765,34,Templekit Street,Lynn,Simpson,72,Head,Widowed,Female,Retired Counsellor,None,Christian
1766,35,Templekit Street,Rosie,Wood,35,Head,Married,Female,Immigration officer,None,Catholic
1767,35,Templekit Street,Barry,Wood,36,Husband,Married,Male,Child psychotherapist,None,None
1768,35,Templekit Street,Marcus,Wood,4,Son,NA,Male,Child,None,NA
1769,36,Templekit Street,Maureen,Johnson,24,Head,Single,Female,Counsellor,None,None
1770,37,Templekit Street,Keith,Morgan,62,Head,Single,Male,"Radiographer, diagnostic",None,Christian
1771,37,Templekit Street,Elizabeth,Matthews,60,Partner,Single,Female,"Research officer, trade union",None,Christian
1772,38,Templekit Street,Suzanne,Ellis,28,Head,Married,Female,Ceramics designer,None,None
1773,38,Templekit Street,Jake,Ellis,32,Husband,Married,M,"Scientist, audiological",None,None
1774,38,Templekit Street,Cheryl,Johnson,38,Lodger,Single,f,"Conservation officer, nature",None,Catholic
1775,39,Templekit Street,Ruth,Nelson,81,Head,Widowed,Female,Retired Civil Service administrator,None,Christian
1776,40,Templekit Street,Douglas,Jackson,37,Head,Married,Male,Industrial buyer,None,Methodist
1777,40,Templekit Street,Louise,Jackson,36,Wife,Married,Female,Tour manager,None,None
1778,41,Templekit Street,Caroline,Morgan,46,Head,Single,Female,Statistician,None,Christian
1779,41,Templekit Street,Mohammed,Morgan,18,Son,Single,Male,Student,None,Christian
1780,41,Templekit Street,Garry,Morgan,16,Son,NA,Male,Student,None,NA
1781,42,Templekit Street,Rhys,Saunders,29,Head,Single,Male,Press photographer,None,Catholic
1782,43,Templekit Street,Jacqueline,Wright,30,Head,Married,Female,Volunteer coordinator,None,Muslim
1783,43,Templekit Street,Michael,Wright,32,Husband,Married,Male,Unemployed,None,Muslim
1784,44,Templekit Street,Jamie,Barker,64,Head,Divorced,Male,Horticultural consultant,None,Christian
1785,45,Templekit Street,Julie,Collins,27,Head,Married,Female,"Teacher, English as a foreign language",None,Methodist
1786,45,Templekit Street,Raymond,Collins,28,Husband,Married,Male,Corporate investment banker,None,Methodist
1787,45,Templekit Street,Ross,Collins,5,Adopted Son,NA,Male,Student,None,NA
1788,46,Templekit Street,Derek,Evans,59,Head,Single,Male,Television/film/video producer,None,Methodist
1789,46,Templekit Street,Rebecca,Hughes,6,Granddaughter,NA,Female,Student,None,NA
1790,47,Templekit Street,Alexandra,Bell,52,Head,Single,Female,Clinical research associate,None,Christian
1791,47,Templekit Street,Graeme,Lawrence,54,Partner,Single,Male,Occupational psychologist,None,None
1792,47,Templekit Street,Elizabeth,Bell,13,Daughter,NA,Female,Student,None,NA
1793,48,Templekit Street,Marilyn,Clarke,18,Head,Single,Female,University Student,None,Christian
1794,48,Templekit Street,Jessica,Newman,21,None,Single,Female,University Student,None,Catholic
1795,48,Templekit Street,Kirsty,Bailey,29,None,Single,Female,PhD Student,None,Catholic
1796,49,Templekit Street,Reece,Wilson,51,Head,Widowed,Male,Clinical research associate,None,Christian
1797,50,Templekit Street,Leigh,Farrell,27,Head,Divorced,Male,Air cabin crew,None,Methodist
1798,51,Templekit Street,Susan,Patel,37,Head,Divorced,Female,"Education officer, community",None,Christian
1799,51,Templekit Street,Dawn,Patel,9,Daughter,NA,F,Student,None,NA
1800,52,Templekit Street,Marilyn,Smith,40,Head,Single,Female,Stage manager,None,Christian
1801,53,Templekit Street,Joel,Smith,75,Head,Widowed,Male,Retired Systems analyst,None,None
1802,54,Templekit Street,Tracy,Johnson,45,Head,Single,Female,Unemployed,None,None
1803,55,Templekit Street,Joyce,Davies,29,Head,Married,Female,"Therapist, nutritional",None,Methodist
1804,55,Templekit Street,Mohammad,Davies,29,Husband,Married,Male,"Investment banker, corporate",None,Methodist
1805,56,Templekit Street,Lorraine,Hudson,27,Head,Single,Female,Politician's assistant,None,Muslim
1806,57,Templekit Street,Sean,Fox,47,Head,Single,Male,Unemployed,None,Catholic
1807,58,Templekit Street,George,Murphy,58,Head,Single,Male,Publishing rights manager,None,None
1808,58,Templekit Street,Clare,Hunt,60,Partner,Single,Female,Unemployed,None,None
1809,59,Templekit Street,Gemma,Brennan,25,Head,Single,Female,Industrial buyer,None,None
1810,60,Templekit Street,Carly,Harris,46,Head,Divorced,Female,Community development worker,None,None
1811,61,Templekit Street,Alice,Turner,45,Head,Single,Female,"Therapist, drama",None,Methodist
1812,62,Templekit Street,Jay,Hayes,38,Head,Single,male,"Surveyor, minerals",None,None
1813,62,Templekit Street,Olivia,Hayes,8,Daughter,NA,Female,Student,None,NA
1814,63,Templekit Street,Beverley,Bird,67,Head,Widowed,Female,"Research officer, political party",None,None
1815,64,Templekit Street,Sandra,Moore,38,Head,Divorced,Female,Equities trader,None,None
1816,65,Templekit Street,Lawrence,Turner,35,Head,Single,Male,Public relations account executive,None,None
